,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
account,0.0,0.0,0.0,0.11112838065556739,0.05040880038349261,0.06468176692405204,0.1441997520889758,0.0,0.014909294208096939,0.0,0.0020837304470639095,0.03600016413527171,0.17489192667115844,0.0,0.0,0.0,0.025351721052724506,0.0,0.03844923845012021,0.20913953605514127,0.0,0.0,0.10419408641612103,0.03880399953163939,0.015283269073817192,0.0,0.0,0.0,0.0,0.028999953046589793,0.005778674730890747,0.0,0.09621900629984712,0.043978018616245874,0.0,0.007545318734708226,0.012231205394435587,0.12503560564327432,0.026358041983107653,0.12555904689768538,0.08357450622470561,0.04829076661235547,0.0,0.0,0.05545495389365291,0.007433222773011098,0.0,0.0,0.0,0.0,0.001258073179281689,0.01313212979742541,0.06745756928970978,0.026358041983107653,0.006148965180700323,0.1121822297363431,0.11158395423999751,0.0,0.1113658955781824,0.18243196736014738,0.08119088009396402,0.0,0.020534964630936122,0.0,0.0,0.023233147282664336,0.1668772687787619,0.0,0.03787263858466466,0.0,0.0,0.00023605137831248996,0.0,0.03345890667869733,0.009168047015025384,0.0,0.007318333627881845,0.0,0.2153306244622113,0.015001866567410916,0.0,0.0010192662503899193,0.0066854414815665725,0.07867639242877378,0.0,0.02559322739714567,0.01838866154541582,0.02559322739714567,0.002070101766773257,0.0902285179006381,0.35389671404326933,0.013259555394435992
action,0.08537504320330051,0.0,0.0,0.0,0.06673938115538969,0.0,0.0,0.0,0.01973935228258022,0.0,0.001379390894781431,0.0,0.0,0.0,0.0,0.0008122045269172354,0.011188245976966119,0.0,0.0,0.0024945313969309494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016693418136279647,0.0,0.0,0.012132418464699406,0.1726328024355519,0.0,0.007492291511754056,0.0038102734284440783,0.0,0.003489706950051612,0.0,0.010059049544327096,0.23975693639126167,0.0,0.0,0.0,0.0019682622244006614,0.06114580684747787,0.0,0.021933678477800346,0.0,0.0016656422052239307,0.4843368924435119,0.0,0.003489706950051612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013593765583492116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023233037866467465,0.0008854825857893657,0.0005533514367316726,0.07383058476840368,0.0014280181227260492,0.0,0.0,0.0,0.0,0.0,0.004134149976798187,0.05802723979625945,0.0,0.05208231203964968,0.0,0.045179311158903945,0.012172952763014482,0.045179311158903945,0.0,0.0,0.02372385403120264,0.4890365808128703
align,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04867413570643512,0.0,0.05269702897609983,0.05070777195884397,0.0952510348212614,0.13661971138438941,0.0,0.00117984285294175,0.0,0.0,0.0,0.0,0.0,0.2158966814479958,0.260312575046761,0.12281882358261512,0.0,0.03079250852629432,0.0,0.08310531502153919,0.02295316424092352,0.025123211318903466,0.040260180841382616,0.12284626105597454,0.18742377157280438,0.0,0.11553729354786157,0.1485133268745953,0.047576461562531334,0.0,0.0,0.20920611127889774,0.0,0.003723729628789487,0.09201894100244787,0.21106386964889562,0.0,0.0,0.11659465018712142,0.0,0.02112086482547133,0.11553729354786157,0.005133951658425675,0.0,0.15971095068312463,0.0,0.0,0.0,0.0,0.040255548854209074,0.02571786779349592,0.0,0.0,0.019398037152114373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02793582405887749,0.05943627491229008,0.10852604442904382,0.0,0.0,0.0,0.056364745881534874,0.07039209974593386,0.10786619357540113,0.0,0.0,0.0,0.0,0.0,0.0,0.0017283887753979852,0.0,0.005610356249150581,0.0
amount,0.0,0.0,0.0,0.0,0.12798837101371108,0.10424879509547455,0.10759694277375126,0.0,0.0,0.0,0.0013993278086725587,0.09670354601238333,0.06524919895152295,0.0,0.27314911697130195,0.0,0.0,0.0,0.0,0.09110109251509453,0.0,0.0,0.0,0.01737253354397828,0.0,0.0,0.0,0.0,0.0,0.007902857710983827,0.007761330415460237,0.0,0.03692332015892365,0.024870239513993347,0.0,0.0,0.0,0.0671740628630294,0.010620435435233652,0.04684394178237231,0.020408874394407705,0.0,0.0,0.0,0.0,0.03993420684134605,0.0,0.0,0.0,0.0,0.003379432858207827,0.01175849748290167,0.0,0.010620435435233652,0.0,0.0,0.09634388264067413,0.0,0.0,0.0,0.0,0.0,0.027580483933193706,0.0,0.0,0.08321175865826468,0.0,0.0,0.050866690971474934,0.0,0.0,7.926007378103614e-05,0.0,0.0,0.0,0.0,0.04914622125461753,0.0,0.0,0.0,0.008387805153191727,0.0006844875788141116,0.0,0.0,0.0,0.011458076662769016,0.012348893543800513,0.011458076662769016,0.0,0.0,0.09025029308319459,0.007632382018185338
app,0.0,0.0,0.0,0.0,0.1968755270424863,0.0,0.0,0.0,0.0,0.0,0.004455649627752324,0.0,0.0,0.0,0.0,0.0008745161389008007,0.0,0.0,0.0,0.04028864454666797,0.0,0.0,0.0,0.018438834736365553,0.0,0.0,0.0,0.0,0.0,0.00029956870652202725,0.004118854872339673,0.0,0.0,0.0021997282621034537,0.0,0.008067093481056243,0.005128242789175536,0.03564855524860854,0.007514868353264935,0.0,0.0,0.0,0.0,0.0,0.02635101387742538,0.010596327795416043,0.02094809149859704,0.0,0.0,0.0,0.046629148801245315,0.0,0.0,0.007514868353264935,0.17531144335905935,0.0,0.0,0.12000590177096788,0.0,0.0,0.0,0.0,0.014636667239863234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000644957899637818,0.002383216275548312,0.0,0.003843936020975943,0.0,0.020865098330919228,0.0,0.0,0.0,0.008902636603291911,0.007265004446759682,0.0023825846325016874,0.0,0.12000590177096788,0.0,0.0,0.0,0.00196733660579847,0.0,0.012771963550830875,0.0
asset,0.0,0.0,0.0,0.0,0.0,0.0,0.024754521390949608,0.0,0.16124551904046097,0.0,0.0,0.0,0.0,0.0,0.0,0.010425930069498206,0.0,0.0,0.019801542275022847,0.0,0.0,0.0,0.0,0.0,0.02361287069898735,0.0,0.04762067382107306,0.037878822607203405,0.0,0.1363640930771213,0.0,0.0,0.0,0.0011920468729878012,0.0,0.03497287814631391,0.0,0.0386363620841074,0.008144710849746906,0.0,0.0,0.0,0.0,0.11221167890718672,0.0,0.0022968872348989003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008144710849746906,0.8201873615777991,0.0,0.0,0.0028121932500560724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017188518814227248,0.0,0.11702754346728354,0.0,0.001355603624401754,0.00039509467519328965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06271714738255378,0.06377863162083604,0.002582275829003149,0.0,0.0028121932500560724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto,0.06524627408729354,0.0,0.0,0.0,0.0031441018685119085,0.013089180704702413,0.0,0.0,0.0,0.0,0.0,0.0546381935946655,0.03932401390951963,0.0,0.014191374743969273,0.04344984439585467,0.11115529047290261,0.054061503250221424,0.0,0.00285959818824239,0.2002498548239184,0.2002498548239184,0.0,0.02617494780413136,0.0,0.38373219695294747,0.03918276434871921,0.07752014135717657,0.09547279582792267,0.05209366170432794,0.005846942761716702,0.10742574524005222,0.050995851824342506,0.010148567581301155,0.03252634871536086,0.08397903273116404,0.04367894910479819,0.0,0.037337202377431745,0.02117372911652896,0.015374879566712968,0.0,0.0,0.03674312816325818,0.0,0.007521037281533519,0.055225814137477305,0.08525963969785393,0.005587467344125096,0.0,0.08783256933795644,0.002530908567257505,0.017063624656577354,0.037337202377431745,0.008295476991902351,0.0,0.05645109163868044,0.0,0.0,0.0,0.0,0.032522606515825156,0.0519439008087469,0.0,0.0,0.0,0.0,0.11657862258068506,0.0,0.0,0.005548566579149194,0.000258743375531442,0.0,0.03385418306626309,0.01909838075589488,0.0,0.022214372581639955,0.02210868620191398,0.027234311816880734,0.030358190839041153,0.045811974431411016,0.023204422000988562,0.0,0.0,0.0,0.0,0.023257376588847675,0.0,0.005585486686788536,0.0,0.00453262752336432,0.002555466848369318
background,0.0,0.005736216906337611,0.0,0.0,0.0057337621117521075,0.023870170731465655,0.13303875518121214,0.0,0.013755321443630373,0.0,0.0,0.28231702277355847,0.06274931018702684,0.0,0.07764058248452256,0.06791793886111008,0.14813355749511328,0.11296726948460029,0.017736642216670824,0.0008691541830958269,0.4869159581934601,0.4869159581934601,0.0,0.01193352905478935,0.014100350820475517,0.12087381173701597,0.018957689522925047,0.33928828110533316,0.0,0.07677627778884279,0.0,0.1285644077239413,0.06763557931649113,0.07474183585613176,0.10380455817596433,0.1496682597815491,0.043810472008410546,0.0,0.07781741188643512,0.0,0.0070096251345455225,0.03341481200791212,0.0,0.08040821764955873,0.22170531516397476,0.013715789249011293,0.0677875424654323,0.077742152163881,0.005094810839185649,0.0,0.09401660869162777,0.0005769385128939139,0.10891367081236511,0.07781741188643512,0.011346076001409834,0.0,0.05147370281582307,0.0012594692076913923,0.0,0.0,0.0,0.10379261532394583,0.08525505360972595,0.0,0.0,0.04286982395809163,0.06158441685161354,0.0,0.06988262628388983,0.0,0.0006071208025034603,0.05393712064549519,0.0,0.20579468086332653,0.07463333152056247,0.07994782123327737,0.0,0.0,0.03724952429161774,0.11072582994686438,0.3068129464371513,0.14575820161809994,0.0,0.0,0.0012594692076913923,0.023612322938565303,0.0,0.023612322938565303,0.001909876807416487,0.005946062185787466,0.03306382432507077,0.0005825367468116382
badge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007014831878356096,0.0,0.0,0.0,0.0023938576751198763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05423381972453562,0.0,0.0,0.0027407729944821024,0.0,0.0,0.0,0.0,0.0,0.0,0.0051800362659043175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02583599616205922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014061583464861714,0.0,0.0,0.0,0.0,0.0,0.002996855949972328,0.004231817303679026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008263604025099366,0.0,0.0,0.7173285516215043,0.0,0.0,0.0,0.0,0.02069772856806331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008843596511544169,3.965372755068971e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157365362735372,0.001027345143676368,0.0,0.0,0.7173285516215043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
